movie,user_review,sentiment
The Prestige,"The Prestige is directed by Christopher Nolan and stars Hugh Jackman and Christian Bale as two magicians that worked side by side until a tragic accident lead them to separate and now, they develop a deadly feud between them. This is a fantastic movie. One of Nolan's best yet again. Nolan is such an inspiration, he hasn't made a bad film, and I hope he doesn't. This guy knows how to make a film. The story was written by his brother, and Chris turned it into a film, just like ""Memento"". Christian Bale gives a great performance as Alfred Borden, a magician known as the Professor. Same goes for Hugh Jackman as Robert Angier. Very well depicted characters, each with a sole purpose. The writing in this film is excellent. Nolan brought the script to life with these nailbiting scenes. The death of Angier's wife was the point in which Alfred and Robert separated their friendship and became rivals. They then go on their separate performances and make new tricks. Some of the tricks would be sabotaged by the either Robert or Alfred, for instance, one scene where Alfred is displaying a trick with a gun, he has a volunteer. That volunteer is Angier, who takes the gun and slips in a real bullet then shoots off Alfred's fingers. That was where the violence started in their rivalry. The friction between Angier and Borden is very great. Hugh and Bale have great chemistry on screen together and I love how they got back at each other. The death of Borden's wife, Sarah, was unexpected for me. That was a mighty surprise where I was like WHAT?! Then, at the end, the plot twist was revealed, where Alfred actually had a twin who was his double. His double was the one that was going to prison and he was actually the other man, I forgot his name, who then revealed himself to Angier at the end. It was a very good twist and I loved it. However, there is one thing I didn't like. During the time Angier went to see Tesla, played by David Bowie, there was always a shift in seasons, where it snowed and then it was green again, and it was confusing to get my head around it, but that is all. Overall: 9/10",negative
The Prestige,"Great movie with Great actors writers and twists.Something that i didn't see anybody said about it that rivalry between two magicians is reference to Tesla and Edison's rivalry.
In the beginning they worked together, then became opponents. I think Borden is Tesla cause he always was more talented than Angier (Edison) who stole Borden's idea.Surely on of the best movies in this century, be sure to watch it more than one time.",positive
The Departed,The plot line of this film you could almost say is a Shakespearean tragedy. Beautifully written with surprise reveals. Casted perfectly and Howard Shore's score works great to bridge together the scenes. It's honestly as high of a 10/10 as you can get.,negative
The Departed,"One of the best films of the 21st century, The Departed keeps you on the edge of your seat and is incredibly exhilarating and the characters are incredibly well written and given great backstory. The ending will shock you and everything that comes before is some of Martin Scorsese's best work.",positive
The Usual Suspects,"I couldn't help but set rather high expectations for 'The Usual Suspects' as I went into watching this. I knew this was no action movie or any of the crap we get nowadays. This was true cinema! I was excited 'The Usual Suspects' is a mystery film about what cargo was on board the ship when it was destroyed and the events leading up to it as we are told from the only known survivor of that accident.Around 45-50 minutes into the movie, I was starting to find myself a bit tired and thought the movie may perhaps have dragged along just a bit. I was becoming rather disappointed. Then the film truly began to change in such a way that I find it rather hard to explain. The characters began to get a little more entertaining, the pacing certainly began to pick up, the dialogue was getting more interesting and overall, I was more excited.Then comes the amazing final twenty minutes with the plot twist and the story finally closing in perfectly, making the story more understandable. However, the final 5 minutes of the movie are some of the best moments of movie ever made and that is the ultimate plot twist which surprised the hell out of me! It was a cheering end to what ended as a great movie and a movie I would be more than happy to check out again and again! A-",negative
The Usual Suspects,"Ah, the Usual Suspects. My personal favorite movie of all time. Don't let my bias be a fool. Perhaps it's not THE best movie ever, but it's one that I never get tired of.If you like flash and bikinis and breath-taking camera angles, you won't find them here. Usual Suspects is not an ""epic,"" and it doesn't pretend to be. It's a modestly-budgeted piece by a fresh director (who later went on to do the X-Men movies, a FAR departure).A great, gritty script, beautifully-acted characters, and what many have called the greatest movie ending of all time, are some of the shining qualities that make the Usual Suspects an object worthy of praise above its humble-looking shell.The casting is very unusual but somehow fits perfectly. Gabriel Byrne is convincing as the ex-con trying to build a new life when he gets drawn back into his old life. Stephen Baldwin has the role of his career as the smart-mouthed and cocky professional. Kevin Pollak takes a big departure from his usual good comedy self to take a more dramatic role. Benicio del Toro literally takes a one-dimensional character with absolutely nothing in the script to give him character, and he fleshes it out with brilliant mannerisms and memorable mumbling to show incredible acting creativity. Kevin Spacey as we know him was born from this movie. His manners and fast-talking yet shy gimp nature are a treat to listen to throughout the flick.Without giving away the plot, the best and most genius parts of the movie are the subtleties. After you see the ending, and the truth hits you like a ton of bricks, you have to watch it again. On the second time through, you'll jump up and point at the screen whenever you spot a clue you missed the first time. It's even possible to watch the movie multiple times and see something new with every viewing. It's that attention to detail that make the deceptively innocent-looking Usual Suspects one of the greatest movies of all time.",positive
Léon: The Professional,"This film, better known in the U.S. as ""The Professional"", is a wonderful and intense film. Jean Reno plays his role as a ""cleaner"" with incredible subtlety. Leon tries to keep his emotions completely suppressed, yet Matilda (in an extraordinary performance by a young Natalie Portman, who is destined to become a very powerful actress into her adult life) bring out in him a new-found joy for life that accompanies his growing paternal instincts. But, the most dynamic element of this film is undeniably Gary Oldman's performance as a wildly sadistic and crooked DEA agent with his own narcotic-induced demons. His obsessions eventually lead him to the brink of absolute madness in his hunt for the cleaner. Truly, this is Oldman's finest performance to date, worthy of Oscar glory, though sadly forgotten. And so, Luc Besson did indeed top his triumph of ""La Femme Nikita"" by far with this masterpiece. Though, I cannot exactly praise his most recent effort with the sci-fi misfire, ""The Fifth Element.""",negative
Léon: The Professional,"Luc Besson's movie Léon (The Professional) gives us an intense story which is maximized in potential by the casting of the movie done by Todd Thaler.  Every aspect of the movie delivers to the audience and makes an impressive overall package.  Jean Reno plays a character named  Léon who has learned to repress his emotions in order to perform his job as a ""cleaner"", or hit-man.  His secluded world is shattered by the young girl named Mathilda who lives on the same floor as he does in an apartment building. When she turns to him for help, he learns about living a normal life, even if the circumstances which unite them are far from normal.The performance delivered by then twelve-year old Natalie Portman as Mathilda is nothing short of brilliant.  Her ability to relate to others with body movement and facial gestures is matched by few, she really brings raw emotion and believability to a difficult role.  Mathilda and Léon are unexpectedly thrown together, but learn to value life from their chance encounter, and how valuable a friendship can be.Jean Reno as Léon gives us a solemn and calculated character who sets all of his energy on his assignments until her is given something else to care about.  Mathilda gives him the daughter that he never had, while Léon serves as a father and friend to her.  Gary Oldman, as the corrupt DEA Agent Norman Stansfield, offers the viewers an amazingly wired and electrical performance which pushes the envelope.  He moves the story along by his actions.  Oldman offers us a memorable portrait of a sadistically obsessed man who stops short of nothing to get what he wants.The Professional is what movie-making is all about.  Without the overuse of special effects, a large shooting location, or a commercially star studded cast, we are given all that could possibly be asked for in a movie.  Portman, Oldman, and Reno, along with Danny Aiello as the hit-contractor Tony remind us that there is no substitute for great acting. There are elements of comedy, drama, and action, and great original music by Eric Serra adds to the energy the film already encapsulates.  The most impressive thing about the movie is its story which is basic but is maximized by all the other elements which go into the making of the movie. Simply put, an intense and impressive movie.",positive
Psycho,"A seminal classic of horror by master Alfred Hitchcock, with some of the most memorable iconic scenes in the history of Cinema. Tense, horrific and a superb lesson in filmmaking, it offers well-constructed characters, a lot of revealing dialogue and a huge regard for details.
Hitchcock's classic ""comedy"" featuring the world's most famous mother's boy is one of the most influential films ever made; every serial killer and slasher movie owes something to this, one of the true greats of cinema.",negative
Psycho,"No matter how many times one sits through this Hitchcock classic, Anthony Perkins always manages to surprise you. It is a sensational performance - for which he didn't even get an Oscar nomination - I have no way of knowing how much preparation he dedicated to the creation of Norman Bates, maybe no more than usual, but the details of his performance are astonishing. Never a false move and if you follow the film looking into his eyes, you'll be amazed as I was. The madness and the tenderness, the danger and the cravings. A mamma's boy with hellish implications and yet we see, we feel connected to the human being, we are not horrified by him but of his circumstances. In short, we kind of understand him. That alone puts him miles and miles away from other cinematic monsters. From Richard Attenborough as the real life Christie in ""10 Rillington Place"" to the hideous, unredeemable Christian Bale in ""American Psycho"". Here Hitchcock and Herrman create an universe that Anthony Perkins inhabits with the same kind of electricity, nerve and shyness that Norman Bates projects throughout the film. Janet Leigh falls for it if not him. She, like us, sees the boy trying to escape his dutiful son's trap. He is in my list of the 10 most riveting characters ever to be captured on film.",positive
Rear Window,"""Rear Window"" comes very close to be the perfect Hitchcock film that illustrates nearly all his great abilities...Hitchcock demonstrates in ""Rear Window"" that he is a great voyeur, that he loves to spy on his characters making each viewer into a voyeur, forcing audience to see everything from his hero's point of view... James Stewart is hold up in his Manhattan two rooms apartment with a broken leg... He passes his time spying on his neighbors through back window in an orgy of voyeurism...Speaking of technical challenge, ""Rear Window"" is Hitchcock prototype... Most of the film is shot from one confined set... It is also notably theatrical since it takes place in one room...Hitchcock forces limitations on himself, as he did in ""Lifeboat"" when he shot entirely on a restricted set, in only one boat... And in ""Rope"" (his first Technicolor film) where the single setting for the production had only walls and furniture...Having restricted his movements, Hitchcock is demanded to be ingenious in order to keep curiosity alive... He builds a realistic courtyard of apartments with inhabitants in it, and the restriction becomes a potency and the technique a fascinating example of what he chooses to call ""pure cinema.""Hitchcock's camera tracks out through the windows... It never goes inside the apartments... We never see close-ups of the characters... We can only see what Stewart sees... We feel like we are watching people through a window instead of in a movie...Hitchcock doesn't use any kind of music... We hear natural sounds, occasional live music played in the surrounding apartment...""Rear Window"" describes Hitchcock at his best for the way it works on several levels, yet hides its own complexity... Stewart, tied in too by pressure from his high society girl who loves him and wants to marry him... Everything he sees out is related to this problem... He avoids to discuss marriage with her, though he himself does not seem to realize it...All the while, the people in the 31 apartments that he can see live out their little lives The tormented middle-aged bachelor, composer/songwriter; the couple who beats the heat by sleeping on a fire escape; the newlyweds and lovers; the tragic ""Miss Lonelyhearts"" and her fantasies of entertaining gentlemen callers; the hearing-impaired sculptor working day and night; the vivacious and sexy blonde dancer ""Miss Torso"" who does suggestive routines in bikini tops and, most important, the hysterical ""nagging wife"" - lying in bed - and her grouchy fed-up husband, a jewelry salesman...One 'great shot' reveals just how involved Stewart has become in their lives when Miss Lovelyheart - in her romantic dinner for two - raises her glass in a toast to her imaginary lover and Stewart raises his glass as well...The urban backyard setting is the night city terrain of ""Rear Window,"" a night city shattered by the sharp sound of a loud female scream and the sound of breaking glass...Hitchcok presents Stewart who sees (or think he sees) what he is powerless to stop... The insidious salesman strangely attracts Stewart's attention... His Passtime becomes an obsession after he suspects that he has murdered his ailing wife and specially when he notices that she is missing... His ravishing fiancée (Grace Kelly) and his nurse (Thelma Ritter) warn him that voyeurism is a crime and is dangerous... But Stewart persists, eventually he was turned on ... This explain perfectly his specific use of a huge zoom lens to do his peeping as he monitors the murderer's activities... The murderer and his wife became subject of Stewart's parody with the ""too perfect, too talented, too sophisticated,"" Grace Kelly...""Rear Window"" is visually very strong... Hitchcock designs the film in such a way so that his view is our view... He manipulates our emotions because he knows perfectly his work... He has the film synchronized in his mind... Shooting and editing are, for him, a simple mechanical phase... The creativity has all taken place before...The first shot of ""Rear Window"" is a perfect example of this reality - as his many typical first shots - for the way it visually transmits the whole complex to the audience...Hitchcock is a master at using his camera to create suspense... Like Stewart, we are restricted in movements, paralyzed inside the apartment, immobile, trapped in a room where we are anxious and uncertain... There is no way we can warn the outcome... This is what 'suspense' is all aboutnot surprise... An effect of intense and prolonged expectancy, lacking all help in the state of knowing that we possess but the characters do not... And, of course, all this great suspense is created by only 'visual' means...Stewart gives the performance of his life behaving at ease... He was the perfect Hitchcock character: a voyeur by profession, an unpretentious photo journalist who becomes caught in a terrifying event...When you see the film, feel the menacing 'look' of the murderer staring those evil eyes at you... And don't forget to catch Alfred Hitchcok in his customary cameo appearance, this time repairing a clock... Enjoy!",negative
Rear Window,"I must say, no signs of aging. Embedded in its day and yet totally relevant. Perhaps the most entertaining of all of Hitchcock's films. Marriage is the theme and murder is the hook. James Stewart is as perfect as he's ever been. He uses the contradictions of his character to create someone immediately familiar. Thelma Ritter's practicality includes a rant about the destructive effect of intelligence. Grace Kelly enters the scene like a character in a dream. She remains a sort of dream that's why to see her climb the killer's balcony is one of my most cherished film memories. If you haven't seen the film you may think I'm rambling but if you have, you know exactly what I mean, don't you?",positive
